cx,cy,rmajor,rminor,type
1,1,15.669334663874071,7.834667331937036,MH
2,1,14.283625626020635,7.141812813010318,MH
3,1,15.02210456196703,7.511052280983515,MH
4,1,14.988151507440756,7.494075753720378,MH
5,1,13.538780492350563,6.7693902461752815,MH
6,1,13.41357860378494,6.70678930189247,MH
7,1,15.168527109611574,7.584263554805787,MH
8,1,14.765334587112104,7.382667293556052,MH
9,1,18.21156962152861,9.105784810764305,MH
10,1,15.16640504370368,7.58320252185184,MH
11,1,15.359513041321845,7.679756520660923,MH
12,1,15.259775943650926,7.629887971825463,MH
13,1,15.323437920887683,7.661718960443841,MH
14,1,11.098404698274836,5.549202349137418,MH
15,1,15.469860468532229,7.734930234266114,MH
16,1,15.368001304953415,7.6840006524767075,MH
17,1,12.719663051904275,6.359831525952138,MH
18,1,13.689447171810892,6.844723585905446,MH
19,1,12.689954129193788,6.344977064596894,MH
20,1,12.72390718372006,6.36195359186003,MH
21,1,15.162160911887897,7.581080455943948,MH
22,1,13.82950352173176,6.91475176086588,MH
23,1,15.67145672978196,7.83572836489098,MH
24,1,16.31444269987322,8.15722134993661,MH
25,1,13.982292267099979,6.991146133549989,MH
26,1,16.509672763399276,8.254836381699638,MH
27,1,15.766949695637098,7.883474847818549,MH
28,1,19.4508561117375,9.72542805586875,MH
29,1,15.743606970650287,7.8718034853251435,MH
30,1,12.60294942697022,6.30147471348511,MH
31,1,16.375982611202087,8.187991305601043,MH
32,1,17.470968619674323,8.735484309837162,MH
33,1,18.065147073884066,9.032573536942033,MH
34,1,20.14689372952606,10.07344686476303,MH
35,1,16.700658695109553,8.350329347554776,MH
36,1,17.56221745371368,8.78110872685684,MH
37,1,17.20571038118783,8.602855190593916,MH
38,1,18.928827898396086,9.464413949198043,MH
39,1,18.47046166229143,9.235230831145715,MH
40,1,17.156902865306318,8.578451432653159,MH
41,1,17.466724487858542,8.733362243929271,MH
42,1,19.610011054829396,9.805005527414698,MH
43,1,17.602536705963626,8.801268352981813,MH
44,1,14.317578680546905,7.158789340273453,MH
45,1,16.318686831689003,8.159343415844502,MH
46,1,18.147907644291852,9.073953822145926,MH
47,1,18.25401093968645,9.127005469843224,MH
48,1,16.26987931580749,8.134939657903745,MH
49,1,20.176602652236546,10.088301326118273,MH
50,1,19.274724641382473,9.637362320691237,MH
51,1,20.117184806815573,10.058592403407786,MH
52,1,18.005729228463093,9.002864614231546,MH
53,1,15.575963763926826,7.787981881963413,MH
54,1,15.665090532058285,7.832545266029142,MH
55,1,15.240677350479897,7.620338675239949,MH
56,1,16.79615166096469,8.398075830482345,MH
57,1,16.201973206754946,8.100986603377473,MH
58,1,17.25663996297724,8.62831998148862,MH
59,1,18.6083959463044,9.3041979731522,MH
60,1,18.640226934922783,9.320113467461391,MH
61,1,17.759569583147627,8.879784791573814,MH
62,1,20.751682513275263,10.375841256637631,MH
63,1,14.956320518822379,7.478160259411189,MH
64,1,19.641842043447777,9.820921021723889,MH
65,1,18.74420816440949,9.372104082204745,MH
66,1,18.130931117028716,9.065465558514358,MH
67,1,18.256133005594343,9.128066502797171,MH
68,1,17.20358831527994,8.60179415763997,MH
69,1,18.941560293843438,9.470780146921719,MH
70,1,16.88527842909615,8.442639214548075,MH
71,1,18.51502504635716,9.25751252317858,MH
72,1,18.98824574381706,9.49412287190853,MH
73,1,19.61213312073729,9.806066560368645,MH
74,1,18.09910012841034,9.04955006420517,MH
75,1,16.88527842909615,8.442639214548075,MH
76,1,20.193579179499682,10.096789589749841,MH
1,2,15.240677350479897,7.620338675239949,MH
2,2,10.115888182920868,5.057944091460434,MH
3,2,17.50067754238481,8.750338771192405,MH
4,2,14.94783225519081,7.473916127595405,MH
5,2,14.457635030467772,7.228817515233886,MH
6,2,16.114968504531376,8.057484252265688,MH
7,2,20.138405465894493,10.069202732947247,MH
8,2,11.71804794337928,5.85902397168964,MH
9,2,15.643869872979366,7.821934936489683,MH
10,2,14.457635030467772,7.228817515233886,MH
11,2,19.022198798343332,9.511099399171666,MH
12,2,10.77372861436737,5.386864307183685,MH
13,2,11.849616029668582,5.924808014834291,MH
